Date,Volume
1/1/2008,2299
1/2/2008,3143
1/3/2008,2994
1/4/2008,3421
1/5/2008,3241
1/6/2008,2793
1/7/2008,2562
1/8/2008,3587
1/9/2008,3384
1/10/2008,3276
1/11/2008,2872
1/12/2008,2730
1/13/2008,2302
1/14/2008,2180
1/15/2008,2731
1/16/2008,2894
1/17/2008,2650
1/18/2008,2437
1/19/2008,2777
1/20/2008,2314
1/21/2008,2119
1/22/2008,2724
1/23/2008,2431
1/24/2008,2655
1/25/2008,2571
1/26/2008,2520
1/27/2008,2181
1/28/2008,2455
1/29/2008,3141
1/30/2008,2843
1/31/2008,2686
2/1/2008,2043
2/2/2008,1866
2/3/2008,1769
2/4/2008,1613
2/5/2008,2211
2/6/2008,2490
2/7/2008,2220
2/8/2008,2078
2/9/2008,2092
2/10/2008,1827
2/11/2008,1899
2/12/2008,2529
2/13/2008,2265
2/14/2008,2170
2/15/2008,2316
2/16/2008,2268
2/17/2008,1918
2/18/2008,1928
2/19/2008,2539
2/20/2008,2508
2/21/2008,2404
2/22/2008,2555
2/23/2008,2327
2/24/2008,2110
2/25/2008,2038
2/26/2008,2918
2/27/2008,2896
2/28/2008,2524
2/29/2008,2713
3/1/2008,2598
3/2/2008,2277
3/3/2008,2286
3/4/2008,3312
3/5/2008,3318
3/6/2008,3106
3/7/2008,3117
3/8/2008,2697
3/9/2008,2260
3/10/2008,2083
3/11/2008,2751
3/12/2008,2602
3/13/2008,2564
3/14/2008,2241
3/15/2008,2016
3/16/2008,1835
3/17/2008,1842
3/18/2008,2417
3/19/2008,2288
3/20/2008,2291
3/21/2008,2254
3/22/2008,2018
3/23/2008,1784
3/24/2008,1814
3/25/2008,2360
3/26/2008,2288
3/27/2008,2363
3/28/2008,2675
3/29/2008,2632
3/30/2008,2295
3/31/2008,1893
4/1/2008,3033
4/2/2008,2569
4/3/2008,2605
4/4/2008,2653
4/5/2008,2454
4/6/2008,2156
4/7/2008,2250
4/8/2008,2955
4/9/2008,2827
4/10/2008,2709
4/11/2008,2731
4/12/2008,2743
4/13/2008,2298
4/14/2008,2376
4/15/2008,3178
4/16/2008,2701
4/17/2008,2337
4/18/2008,2436
4/19/2008,2256
4/20/2008,1868
4/21/2008,1913
4/22/2008,2652
4/23/2008,2630
4/24/2008,2551
4/25/2008,2612
4/26/2008,2376
4/27/2008,2020
4/28/2008,1902
4/29/2008,2906
4/30/2008,2949
5/1/2008,2693
5/2/2008,2775
5/3/2008,2328
5/4/2008,1855
5/5/2008,2001
5/6/2008,2801
5/7/2008,2758
5/8/2008,2607
5/9/2008,2549
5/10/2008,2217
5/11/2008,1770
5/12/2008,1461
5/13/2008,2477
5/14/2008,2437
5/15/2008,2423
5/16/2008,2246
5/17/2008,2090
5/18/2008,1722
5/19/2008,1809
5/20/2008,2559
5/21/2008,2370
5/22/2008,2213
5/23/2008,2190
5/24/2008,2044
5/25/2008,1863
5/26/2008,1552
5/27/2008,1859
5/28/2008,2519
5/29/2008,2304
5/30/2008,2333
5/31/2008,2108
6/1/2008,1774
6/2/2008,1858
6/3/2008,2334
6/4/2008,2224
6/5/2008,2226
6/6/2008,2223
6/7/2008,2075
6/8/2008,1785
6/9/2008,1753
6/10/2008,2348
6/11/2008,2248
6/12/2008,2305
6/13/2008,2231
6/14/2008,1779
6/15/2008,1674
6/16/2008,1478
6/17/2008,2231
6/18/2008,2260
6/19/2008,2341
6/20/2008,2281
6/21/2008,2226
6/22/2008,1736
6/23/2008,1779
6/24/2008,2687
6/25/2008,2408
6/26/2008,2554
6/27/2008,2212
6/28/2008,2104
6/29/2008,1710
6/30/2008,1762
7/1/2008,2478
7/2/2008,2043
7/3/2008,1432
7/4/2008,2183
7/5/2008,2167
7/6/2008,1901
7/7/2008,1828
7/8/2008,2619
7/9/2008,2434
7/10/2008,2423
7/11/2008,2200
7/12/2008,2183
7/13/2008,1823
7/14/2008,1760
7/15/2008,2598
7/16/2008,2325
7/17/2008,2533
7/18/2008,2166
7/19/2008,2037
7/20/2008,1748
7/21/2008,1865
7/22/2008,2670
7/23/2008,2816
7/24/2008,2761
7/25/2008,2624
7/26/2008,2530
7/27/2008,2238
7/28/2008,1920
7/29/2008,3085
7/30/2008,2991
7/31/2008,2573
8/1/2008,2492
8/2/2008,2336
8/3/2008,1992
8/4/2008,1986
8/5/2008,2641
8/6/2008,2375
8/7/2008,2236
8/8/2008,2052
8/9/2008,1997
8/10/2008,1735
8/11/2008,1593
8/12/2008,2479
8/13/2008,2204
8/14/2008,2056
8/15/2008,2082
8/16/2008,1956
8/17/2008,1586
8/18/2008,1505
8/19/2008,2178
8/20/2008,2060
8/21/2008,2064
8/22/2008,2025
8/23/2008,1969
8/24/2008,1633
8/25/2008,1563
8/26/2008,2416
8/27/2008,2208
8/28/2008,2079
8/29/2008,2060
8/30/2008,1939
8/31/2008,1823
9/1/2008,1360
9/2/2008,1657
9/3/2008,1942
9/4/2008,1801
9/5/2008,1837
9/6/2008,1764
9/7/2008,1443
9/8/2008,1231
9/9/2008,1751
9/10/2008,1708
9/11/2008,1657
9/12/2008,1583
9/13/2008,1446
9/14/2008,1385
9/15/2008,1151
9/16/2008,1941
9/17/2008,1859
9/18/2008,1797
9/19/2008,1772
9/20/2008,1644
9/21/2008,1502
9/22/2008,1342
9/23/2008,2035
9/24/2008,1949
9/25/2008,1807
9/26/2008,1814
9/27/2008,1845
9/28/2008,1587
9/29/2008,1492
9/30/2008,1896
10/1/2008,1985
10/2/2008,2001
10/3/2008,1982
10/4/2008,1886
10/5/2008,1614
10/6/2008,1516
10/7/2008,2155
10/8/2008,2053
10/9/2008,2155
10/10/2008,2144
10/11/2008,1873
10/12/2008,1597
10/13/2008,1366
10/14/2008,2250
10/15/2008,2151
10/16/2008,2119
10/17/2008,1980
10/18/2008,1811
10/19/2008,1633
10/20/2008,1436
10/21/2008,2115
10/22/2008,2139
10/23/2008,2103
10/24/2008,1952
10/25/2008,1801
10/26/2008,1707
10/27/2008,1399
10/28/2008,2262
10/29/2008,2041
10/30/2008,1949
10/31/2008,2214
11/1/2008,2136
11/2/2008,1683
11/3/2008,1582
11/4/2008,2448
11/5/2008,2153
11/6/2008,2030
11/7/2008,2081
11/8/2008,2177
11/9/2008,1778
11/10/2008,1559
11/11/2008,2281
11/12/2008,2610
11/13/2008,2074
11/14/2008,2024
11/15/2008,1866
11/16/2008,1534
11/17/2008,1284
11/18/2008,1709
11/19/2008,1744
11/20/2008,1572
11/21/2008,897
11/22/2008,1610
11/23/2008,1441
11/24/2008,1432
11/25/2008,2179
11/26/2008,2155
11/27/2008,2196
11/28/2008,1924
11/29/2008,1900
11/30/2008,1589
12/1/2008,1294
12/2/2008,2237
12/3/2008,2166
12/4/2008,2017
12/5/2008,1888
12/6/2008,1746
12/7/2008,1378
12/8/2008,1103
12/9/2008,1898
12/10/2008,1914
12/11/2008,1678
12/12/2008,1729
12/13/2008,1594
12/14/2008,1212
12/15/2008,1121
12/16/2008,1936
12/17/2008,1816
12/18/2008,1761
12/19/2008,1744
12/20/2008,1654
12/21/2008,1220
12/22/2008,929
12/23/2008,1020
12/24/2008,661
12/25/2008,1833
12/26/2008,1936
12/27/2008,2152
12/28/2008,1674
12/29/2008,1269
12/30/2008,1994
12/31/2008,1671
1/1/2009,2576
1/2/2009,2566
1/3/2009,2331
1/4/2009,1920
1/5/2009,1593
1/6/2009,2393
1/7/2009,2250
1/8/2009,1958
1/9/2009,2119
1/10/2009,2042
1/11/2009,1676
1/12/2009,1182
1/13/2009,2136
1/14/2009,1978
1/15/2009,2348
1/16/2009,2101
1/17/2009,1889
1/18/2009,1561
1/19/2009,1360
1/20/2009,1999
1/21/2009,1882
1/22/2009,2116
1/23/2009,2038
1/24/2009,1755
1/25/2009,1376
1/26/2009,1213
1/27/2009,1972
1/28/2009,2000
1/29/2009,2091
1/30/2009,2061
1/31/2009,1890
2/1/2009,1477
2/2/2009,1207
2/3/2009,1935
2/4/2009,1979
2/5/2009,1910
2/6/2009,1865
2/7/2009,1743
2/8/2009,1569
2/9/2009,1537
2/10/2009,2186
2/11/2009,1856
2/12/2009,1569
2/13/2009,1534
2/14/2009,1486
2/15/2009,1076
2/16/2009,979
2/17/2009,1413
2/18/2009,1502
2/19/2009,1667
2/20/2009,2252
2/21/2009,1806
2/22/2009,1441
2/23/2009,1262
2/24/2009,2048
2/25/2009,2040
2/26/2009,2822
2/27/2009,3368
2/28/2009,3187
3/1/2009,2788
3/2/2009,2557
3/3/2009,3608
3/4/2009,3235
3/5/2009,3405
3/6/2009,3383
3/7/2009,2991
3/8/2009,2288
3/9/2009,2011
3/10/2009,3095
3/11/2009,2972
3/12/2009,3045
3/13/2009,3121
3/14/2009,2522
3/15/2009,1839
3/16/2009,1620
3/17/2009,2836
3/18/2009,3096
3/19/2009,3127
3/20/2009,2808
3/21/2009,2474
3/22/2009,1802
3/23/2009,1678
3/24/2009,2724
3/25/2009,2617
3/26/2009,2482
3/27/2009,2487
3/28/2009,2522
3/29/2009,2319
3/30/2009,2197
3/31/2009,3286
4/1/2009,3174
4/2/2009,3521
4/3/2009,3485
4/4/2009,3278
4/5/2009,2269
4/6/2009,2187
4/7/2009,3594
4/8/2009,3210
4/9/2009,2530
4/10/2009,3241
4/11/2009,2892
4/12/2009,2086
4/13/2009,1925
4/14/2009,3219
4/15/2009,3076
4/16/2009,2944
4/17/2009,3059
4/18/2009,2911
4/19/2009,2133
4/20/2009,1192
4/21/2009,3229
4/22/2009,3428
4/23/2009,3411
4/24/2009,2979
4/25/2009,3052
4/26/2009,2346
4/27/2009,2089
4/28/2009,3636
4/29/2009,3719
4/30/2009,3619
5/1/2009,3449
5/2/2009,3332
5/3/2009,2519
5/4/2009,2450
5/5/2009,3623
5/6/2009,3552
5/7/2009,3499
5/8/2009,3495
5/9/2009,3156
5/10/2009,2342
5/11/2009,1842
5/12/2009,3494
5/13/2009,3384
5/14/2009,3314
5/15/2009,3371
5/16/2009,3039
5/17/2009,2262
5/18/2009,2094
5/19/2009,3618
5/20/2009,3504
5/21/2009,3378
5/22/2009,3173
5/23/2009,2913
5/24/2009,2096
5/25/2009,1840
5/26/2009,2410
5/27/2009,3533
5/28/2009,3319
5/29/2009,3330
5/30/2009,3172
5/31/2009,2123
6/1/2009,2103
6/2/2009,3513
6/3/2009,3341
